assay_id,ASSAY_NAME,ASSAY_TYPE,auroc,auroc_95ci_lower,auroc_95ci_upper,auroc_gt_0.9,auroc_gt_0.8,auroc_gt_0.7,auroc_gt_0.5,global_mean_auroc,Total_Samples,Positive_Count,Negative_Count,count_valid_tasks
229_701,MLPCN Alpha-Synuclein 5'UTR,cell,0.8016540327471194,0.7797686227042943,0.8231246988200096,False,True,True,True,0.7319072638012903,3469,319,3150,54
232_704,MLPCN Cancer Stem Cells,cell,0.7395085990233208,0.6979159639188094,0.7789939362007722,False,False,True,True,0.7319072638012903,1768,153,1615,54
244_718,MLPCN ERp5,biochem,0.5452769307962484,0.4865404630684699,0.6080187900286722,False,False,False,True,0.7319072638012903,13427,78,13349,54
247_721,MLPCN PHGDH,biochem,0.5015044274216428,0.4492286323083113,0.5510566237380572,False,False,False,True,0.7319072638012903,12892,162,12730,54
250_726,GPR85,cell,0.7341295965390764,0.6306100309559508,0.8358305587418228,False,False,True,True,0.7319072638012903,3192,45,3147,54
259_737,MLPCN CAL PDZ,biochem,0.220203488372093,0.1321539868988179,0.3284825753173987,False,False,False,False,0.7319072638012903,7162,36,7126,54
268_746,MCL-1 DSF,biochem,0.5609148145901702,0.5268154471326609,0.5953951452317573,False,False,False,True,0.7319072638012903,12354,397,11957,54
269_747,MLPCN Insulin Secretion,cell,0.630988743545227,0.6065397278196712,0.6552349233790175,False,False,False,True,0.7319072638012903,15076,606,14470,54
271_749,MLPCN iPSC Wnt-B-catenin,cell,0.7680746091976389,0.7332500260421516,0.8028154175024981,False,False,True,True,0.7319072638012903,1650,237,1413,54
281_760,MLPCN CaV1.3,cell,0.5749085684430513,0.490744603368762,0.648977239786346,False,False,False,True,0.7319072638012903,1919,24,1895,54
37_74,CardiovascularProfiling.FluorDye.JC1Mito,cell,0.7710144927536232,0.6744856591285162,0.8642747955735843,False,False,True,True,0.7319072638012903,34,3,31,54
42_104,CellMetabolicProfiling.Absorb.MTTStain,cell,0.8285714285714285,0.7296487603305785,0.9142930528375732,False,True,True,True,0.7319072638012903,31,2,29,54
7_10,AspulvinoneRegulation.Absorb.405,bacterial,0.981907894736842,0.9508497807017544,1.0,True,True,True,True,0.7319072638012903,32,1,31,54
70_211,CyclicAMPSignaling.Reporter.cAMP-EBX1,cell,0.9344059405940592,0.8811071428571429,0.9789604961709764,True,True,True,True,0.7319072638012903,61,3,58,54
76_230,eCadherinSignaling.Lumin.CTG,biochem,0.5571705426356589,0.4360222868217054,0.6641332571978121,False,False,False,True,0.7319072638012903,48,1,47,54
78_237,ErythroidSurvival.Lumin.CTG,cell,0.9192546583850932,0.8120151251990158,0.9893617021276596,True,True,True,True,0.7319072638012903,32,1,31,54
82_243,GenotypeProfiling.FluorDye.Resazurin,cell,0.8064935064935066,0.6766052991329999,0.9127499096712032,False,True,True,True,0.7319072638012903,27,4,23,54
83_244,GlutamateDehydrogenase.Absorb.360,biochem,0.3460743801652892,0.209706804174254,0.5033303464755078,False,False,False,False,0.7319072638012903,70,1,69,54
85_247,GSISyntheticLethality.FluorDye.Resazurin,cell,0.6910640799529688,0.5894410443849434,0.784618324737103,False,False,False,True,0.7319072638012903,44,17,27,54
86_250,HairlessSignaling.Reporter.Lux-Hrl,cell,0.5253623188405797,0.3993152936994579,0.6433089454687347,False,False,False,True,0.7319072638012903,31,2,29,54
88_252,HeatShockModulation.FluorProt.HSE-GFP,cell,0.5535220994475138,0.4707303809412472,0.6429621529909283,False,False,False,True,0.7319072638012903,99,1,98,54
88_254,HeatShockModulation.FluorProt.HSE-GFP,cell,0.5854994903160041,0.4789745989304813,0.6886056049213943,False,False,False,True,0.7319072638012903,60,8,52,54
92_258,HepatitisCInfectivity.Reporter.Lux-Feo,cell,0.6398741418764302,0.5245774582096026,0.7641422510842832,False,False,False,True,0.7319072638012903,32,11,21,54
